trial,target,scale,infeasible,true_relative_residual,ejar_residual_score,static_residual_score,action_norm_score,condition_score,clipped
170,redundant_4link,1.0,0,0.003136912011670514,0.0002612582554542726,0.0384429763110913,0.49350932096734124,4.175367637661884,0
171,short_2link,1.35,0,0.02423315434896063,0.0027038525912773453,0.0027671293634138473,0.8069949531471966,221.92944163415427,0
172,soft_5link,1.75,1,0.2435481902668698,0.044372858065936924,0.09781376061103841,0.6202038984853959,4.584272736649242,1
173,wide_2link,2.25,1,0.4531013352152623,0.04588245399842485,0.04879410703344909,0.7765500120986507,3.852807747889797,1
174,snake_6link,0.35,0,0.005451743595835979,8.479502457075757e-05,0.02143809289084846,0.13728610073091974,2.4278325175191147,0
175,heavy_3link,0.7,0,0.00537735023592902,0.0002631373520777395,0.031831031433854386,0.3449655842756787,5.269579320431774,0
176,teacher_2link,1.0,0,0.005821417809428222,0.0003796741877010449,0.05344277327287628,0.6579955891484288,5.9702560125386075,0
177,long_4link,1.35,0,0.007613444176760765,0.0003787130327427768,0.0619119880584494,0.6208802993704894,3.260695968272183,0
178,long_2link,1.75,1,0.3718156547878662,0.06907617318238933,0.031708965968110056,0.7814029463887537,16.27063214001082,1
179,needle_5link,2.25,1,0.42457035622285466,0.0630419109660826,0.06631566573416448,0.3713982830210033,2.2929954030285185,1
180,asym_3link,0.35,0,0.009650461153089537,0.0003844923277979017,0.0004000350012890427,0.16878996745642738,220.29558064168688,0
181,large_6link,0.7,0,0.00641191032266133,0.0002839618908562422,0.02577324449977515,0.3017965970647176,5.6403828403111484,0
182,redundant_4link,1.0,0,0.003778222392934517,0.00032800664191696966,0.1319592718989442,0.5311282930031115,5.653616057375632,0
183,short_2link,1.35,1,0.07610495298387407,0.003037471840980624,0.028964507891134424,0.8027864035836242,11.438258539500449,1
184,soft_5link,1.75,1,0.09048386146248562,0.014045600299110427,0.2276100755420944,0.734561837454097,1.9957544829104905,1
185,wide_2link,2.25,1,0.5442058750258091,0.10182716185429187,0.09282647811617471,0.4909349337535258,5.670811470758454,1
186,snake_6link,0.35,0,0.0022177831617615994,7.606983821384689e-05,0.033856746433968334,0.16034462118335616,4.103483041476102,0
187,heavy_3link,0.7,0,0.016868546437539114,0.00036415053184004324,0.012955478503494924,0.42684005125838254,6.077670130402253,0
188,teacher_2link,1.0,0,0.01275431705301115,0.0007205030646693279,0.012033435602136244,0.6841644763515679,11.989380528361758,0
189,long_4link,1.35,1,0.017583936055101012,0.0033160738895634785,0.008431900593217256,0.5570816173623039,110.40178040445758,1
190,long_2link,1.75,1,0.4277183418414229,0.0969750646362916,0.107341821027993,0.7376626194179422,6.22097499666898,1
191,needle_5link,2.25,1,0.34933448319091137,0.0176767659133387,0.056585719237600196,0.6183193958547578,3.294880478711159,1
192,asym_3link,0.35,0,0.0027166739510235283,5.849919890269389e-05,0.02762508549283852,0.19232855230105286,1.385684131434682,0
193,large_6link,0.7,0,0.0029252315108415886,0.00012067676295401967,0.03963151865336861,0.2739800462760112,1.2377055972852131,0
194,redundant_4link,1.0,0,0.00528525815918005,0.0003554010697413106,0.023736193713683528,0.5151807080819347,5.318269553354066,0
195,short_2link,1.35,0,0.04469885144817688,0.0031432524112506347,0.0624683223841668,0.7000863494197083,52.826424078439686,0
196,soft_5link,1.75,1,0.19635722457854604,0.04691835606877323,0.11359991155416227,0.6758182641235448,4.658250456971289,1
197,wide_2link,2.25,1,0.4146277408544638,0.0366681756478227,0.06075030612915153,0.8815257727113915,4.153102634089107,1
198,snake_6link,0.35,0,0.0030224022802216315,0.00016913112000090127,0.00022204509009957389,0.15594032886575404,123.9996806266245,0
199,heavy_3link,0.7,0,0.002202124473074722,0.0001396590373856399,0.021221085517854836,0.3494540934947473,3.649747060007835,0
200,teacher_2link,1.0,0,0.007038884917942023,0.00028575432664919965,0.03393366117365627,0.6612366792587164,3.613274619680981,0
