episode,target,method,horizon,final_tracking_error,mean_tracking_error,success_5cm_equiv,success_10cm_equiv,clipped_steps,residual_sum
107,asymmetric_3link,ejar_absolute,18,0.11792984090856194,0.10402637199031176,0,0,10,0.2299561458031983
108,short_2link,raw_copy,18,0.016739168609736545,0.04284959846257163,1,1,0,nan
108,short_2link,ejar_absolute,18,0.05915616621389547,0.04298154817303875,0,1,5,0.09865514536013892
109,long_2link,raw_copy,18,0.5785101986755317,0.24668676945056756,0,0,0,nan
109,long_2link,ejar_absolute,18,0.31918356909697704,0.14112242564594818,0,0,16,0.4580034348758483
110,asymmetric_3link,raw_copy,18,0.07775110352637904,0.05759622839841705,0,1,0,nan
110,asymmetric_3link,ejar_absolute,18,0.013421496842658092,0.013587316400815126,1,1,3,0.026318415082430126
111,short_2link,raw_copy,18,0.1299290476343402,0.0985565409430712,0,0,0,nan
111,short_2link,ejar_absolute,18,0.028696949084898376,0.032136355896662326,1,1,7,0.35383689245148214
112,long_2link,raw_copy,18,0.32605222099426673,0.1708606251975963,0,0,0,nan
112,long_2link,ejar_absolute,18,0.06735152589850335,0.019125492032570454,0,1,6,0.09509750664399848
113,asymmetric_3link,raw_copy,18,0.0734202178616659,0.04794818775185869,0,1,0,nan
113,asymmetric_3link,ejar_absolute,18,0.017315652381671716,0.007269459674115655,1,1,1,0.007297104146881024
114,short_2link,raw_copy,18,0.03936442906397274,0.08958921346909136,1,1,0,nan
114,short_2link,ejar_absolute,18,0.05160076331612856,0.03565550128258705,0,1,8,0.18361135101706397
115,long_2link,raw_copy,18,0.38864314992202575,0.22842565997806574,0,0,0,nan
115,long_2link,ejar_absolute,18,0.04496224692142627,0.023784665366412987,1,1,10,0.11282597576978681
116,asymmetric_3link,raw_copy,18,0.2812984916226093,0.1435830297674151,0,0,0,nan
116,asymmetric_3link,ejar_absolute,18,0.04963076626866528,0.03713905582773593,1,1,12,0.3928663718474726
117,short_2link,raw_copy,18,0.15862292475489156,0.1069024194892557,0,0,0,nan
117,short_2link,ejar_absolute,18,0.16677401165145778,0.11041403266010774,0,0,15,0.6039143589886198
118,long_2link,raw_copy,18,0.030174932254782218,0.014339961816797035,1,1,0,nan
118,long_2link,ejar_absolute,18,0.07987222920547167,0.043278771393941484,0,1,6,0.12553487269607502
119,asymmetric_3link,raw_copy,18,0.3586174902893363,0.2464226375462368,0,0,0,nan
119,asymmetric_3link,ejar_absolute,18,0.21013927421248962,0.13330171542087196,0,0,17,0.5910301058420812
120,short_2link,raw_copy,18,0.05070546229927799,0.14243321681070803,0,1,0,nan
120,short_2link,ejar_absolute,18,0.04390115349230436,0.09132758649057802,1,1,14,0.5213563633701415
121,long_2link,raw_copy,18,0.08700973608583731,0.17151689053783148,0,1,0,nan
121,long_2link,ejar_absolute,18,0.0060481286263644445,0.003292469843836873,1,1,0,0.0019571258365150192
122,asymmetric_3link,raw_copy,18,0.2023595411621524,0.1800740786380942,0,0,0,nan
122,asymmetric_3link,ejar_absolute,18,0.12084133056264959,0.09429573326397289,0,0,11,0.2035689377224167
123,short_2link,raw_copy,18,0.040453039386942106,0.186787271708996,1,1,0,nan
123,short_2link,ejar_absolute,18,0.07913112307208418,0.023668114422120582,0,1,5,0.09370952316289996
124,long_2link,raw_copy,18,0.11501647786998129,0.10497219611816014,0,0,0,nan
124,long_2link,ejar_absolute,18,0.01513698267686413,0.008413532652191474,1,1,5,0.038007895030174765
125,asymmetric_3link,raw_copy,18,0.0445189247731632,0.0624287402882263,1,1,0,nan
125,asymmetric_3link,ejar_absolute,18,0.029577067155670333,0.05772394720611217,1,1,10,0.27866813876051605
126,short_2link,raw_copy,18,0.08560705874851851,0.07353623658518885,0,1,0,nan
126,short_2link,ejar_absolute,18,0.05215994550294967,0.05717449882432346,0,1,15,0.5050712068865495
127,long_2link,raw_copy,18,0.17237283408415505,0.08764908194473048,0,0,0,nan
127,long_2link,ejar_absolute,18,0.04781303773699116,0.029426210333878426,1,1,8,0.19869397948317988
128,asymmetric_3link,raw_copy,18,0.09864011935510633,0.058312736543769256,0,1,0,nan
128,asymmetric_3link,ejar_absolute,18,0.10149942426857918,0.03684308230935875,0,0,11,0.19487708629018102
129,short_2link,raw_copy,18,0.06386181491706903,0.052885880586738696,0,1,0,nan
129,short_2link,ejar_absolute,18,0.012772476876417591,0.013122338379986177,1,1,8,0.09282013300926292
130,long_2link,raw_copy,18,0.06998022609339782,0.04395315787972286,0,1,0,nan
130,long_2link,ejar_absolute,18,0.013794349539830587,0.0074560374575871015,1,1,1,0.00649928642238029
131,asymmetric_3link,raw_copy,18,0.6744557947993751,0.5043012779134143,0,0,0,nan
131,asymmetric_3link,ejar_absolute,18,0.29372843730914117,0.22418410620385032,0,0,12,0.4743874008220344
132,short_2link,raw_copy,18,0.013737782452430304,0.049630831485229183,1,1,0,nan
132,short_2link,ejar_absolute,18,0.010741563070142776,0.01317003823963983,1,1,6,0.09042730364611687
133,long_2link,raw_copy,18,0.29223400915790076,0.19891874296635198,0,0,0,nan
133,long_2link,ejar_absolute,18,0.009253178697388793,0.004079541547697655,1,1,0,0.002098986246317089
134,asymmetric_3link,raw_copy,18,0.5922670874360549,0.31445192496924584,0,0,0,nan
134,asymmetric_3link,ejar_absolute,18,0.26868827773859133,0.16363218918044256,0,0,13,0.36236246130972
135,short_2link,raw_copy,18,0.2611782735421407,0.136929008393602,0,0,0,nan
135,short_2link,ejar_absolute,18,0.10484345257649177,0.050457460283180613,0,0,9,0.20616420927824655
136,long_2link,raw_copy,18,0.1792672836792272,0.09488135735645613,0,0,0,nan
136,long_2link,ejar_absolute,18,0.08469781263637755,0.04003855226171508,0,1,11,0.2870292907007719
137,asymmetric_3link,raw_copy,18,0.08687352803485053,0.09681217031130225,0,1,0,nan
137,asymmetric_3link,ejar_absolute,18,0.014671744394660928,0.00767207452745031,1,1,2,0.01226919745277074
138,short_2link,raw_copy,18,0.3912308053101674,0.16621781123739077,0,0,0,nan
138,short_2link,ejar_absolute,18,0.13517861034826295,0.06550121532631804,0,0,12,0.27982790691269355
139,long_2link,raw_copy,18,0.020137300659907258,0.20512306438066125,1,1,0,nan
139,long_2link,ejar_absolute,18,0.014648630410172107,0.011283429316105407,1,1,3,0.03086360884771074
140,asymmetric_3link,raw_copy,18,0.3092264661483767,0.18297243481332415,0,0,0,nan
140,asymmetric_3link,ejar_absolute,18,0.04024273934190771,0.025864849677957373,1,1,5,0.06956122697777602
141,short_2link,raw_copy,18,0.01421229703946605,0.021483454109189115,1,1,0,nan
141,short_2link,ejar_absolute,18,0.03629826334691712,0.025331362162348475,1,1,8,0.15084997190582614
142,long_2link,raw_copy,18,0.8011394828464808,0.4229883015284774,0,0,0,nan
142,long_2link,ejar_absolute,18,0.2541230900445969,0.11406607189632473,0,0,15,0.32501043868340634
143,asymmetric_3link,raw_copy,18,0.10367350586509065,0.09894881673576314,0,0,0,nan
143,asymmetric_3link,ejar_absolute,18,0.055041821957628176,0.02931094721992812,0,1,9,0.24233218541489823
144,short_2link,raw_copy,18,0.019595857719543662,0.05869862913201683,1,1,0,nan
144,short_2link,ejar_absolute,18,0.07086239916438357,0.054211451244002,0,1,9,0.15189177762495426
